environment,backend,case,round,frames,frame_ms_median,frame_ms_p95,frame_ms_p99,frame_ms_max,halo_ms_median,halo_ms_p95,halo_ms_p99,halo_ms_max,allocated_bytes_median,allocated_bytes_p95,allocated_bytes_p99,allocated_bytes_max,submissions_median,submissions_p95,submissions_p99,submissions_max,uploaded_bytes_median,uploaded_bytes_p95,uploaded_bytes_p99,uploaded_bytes_max,warm_reentry_peak_ms
native,cached,1,1,2944,1.6417,2.15773,2.8719,10.1317,1.1497,1.38502,1.52711,9.3984,690888.0,690888.0,690888.0,690888.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0,0.0,3.0424
native,cached,1,2,2957,1.6417,2.12028,2.77742,9.6315,1.1518,1.37242,1.53306,9.0558,690888.0,690888.0,690888.0,690888.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0,0.0,7.3978
native,cached,2,0,2891,1.6729,2.17785,2.95434,11.4085,1.1506,1.36925,1.54721,10.5126,690944.0,690944.0,690944.0,690944.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0,0.0,2.8529
native,cached,2,1,2944,1.64445,2.18442,2.90967,5.0342,1.1532,1.36204,1.52268,2.3962,690944.0,690944.0,690944.0,690944.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0,0.0,3.1255
native,cached,2,2,2895,1.6597,2.33673,3.03708,11.627,1.1628,1.37387,1.54795,2.7536,690944.0,690944.0,690944.0,690944.0,320.0,320.0,320.0,320.0,0.0,0.0,0.0,0.0,2.7497
native,cached,3,0,3476,1.39085,1.79107,2.5535,3.507,0.90045,1.08218,1.25675,2.5671,527424.0,527424.0,527424.0,527424.0,256.0,256.0,256.0,256.0,0.0,0.0,0.0,0.0,2.5837
native,cached,3,1,3565,1.3572,1.73426,2.41754,4.2957,0.8973,1.07216,1.22128,2.1643,527424.0,527424.0,527424.0,527424.0,256.0,256.0,256.0,256.0,0.0,0.0,0.0,0.0,2.6905
native,cached,3,2,3579,1.3543,1.71621,2.47157,3.3148,0.8946,1.06601,1.18056,2.4202,527424.0,527424.0,527424.0,527424.0,256.0,256.0,256.0,256.0,0.0,0.0,0.0,0.0,2.5469
native,cached,4,0,8306,0.5677,0.80893,1.46037,3.2879,0.14,0.18738,0.2353,1.3897,88704.0,88704.0,88704.0,88704.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,1.6743
native,cached,4,1,8390,0.5571,0.78291,1.52149,32.3033,0.1442,0.18355,0.23171,1.8234,88704.0,88704.0,88704.0,88704.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,1.6919
native,cached,4,2,8710,0.5423,0.74531,1.47876,3.195,0.1399,0.1851,0.23639,1.4817,88704.0,88704.0,88704.0,88704.0,32.0,32.0,32.0,32.0,0.0,0.0,0.0,0.0,1.8162
native,cached,5,0,9452,0.4959,0.70088,1.40801,2.6707,0.0829,0.1187,0.16385,0.4041,38760.0,38760.0,38760.0,38760.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,1.5557
native,cached,5,1,9879,0.4738,0.66972,1.32171,3.6608,0.0822,0.1169,0.1613,1.4449,38760.0,38760.0,38760.0,38760.0,16.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,1.5831
